source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax,pmra,pmdec,ruwe
1576683529448755328,193.50817846782095,55.959784778923755,1.731607,2.4691198,2.1307526,0.33836722,,,,
6560604777055249536,332.05907779469464,-46.96161734131188,1.7732803,2.3980012,2.1459453,0.25205588,,,,
1510374147844219904,206.8843267438112,49.313201807217496,1.881019,2.4719384,2.3064141,0.16552424,,,,
3377166289889430656,95.74037353106223,22.51309871600816,1.8813683,3.6220174,1.7436333,1.8783841,,,,
418551920284673408,10.12724197930297,56.53718879378639,1.9425238,2.9869862,1.8435026,1.1434835,14.090976249252234,49.12564571845064,-31.595374311196693,3.2626884
4677205714465503104,69.1893185844083,-62.07749050901024,1.9587749,5.5383353,1.7679414,3.7703938,,,,
6026152137856166912,252.53759018899078,-34.294371751412214,1.9910356,3.0884519,1.9007559,1.187696,,,,
4357027756659697664,243.58621066034064,-3.694967708333353,2.0164251,3.482232,1.9189217,1.5633104,20.411292350652413,-45.34001940987892,-144.43272215287442,2.846696
426558460884582016,14.177450998208093,60.71672280471204,2.0645833,2.7258432,2.3151085,0.41073465,,,,
3011968416163350272,86.93912852502406,-9.669607137549677,2.0778263,2.5271733,2.327674,0.19949937,,,,
5589311357728452608,109.28559423278779,-37.097444485279574,2.0832374,3.4506135,1.9080331,1.5425804,5.762063161817684,-11.561999924300897,6.520111466968526,8.443204
4993479684438433792,6.57215550145885,-42.30782032569077,2.0899775,3.301706,2.032224,1.2694821,39.91825815729799,176.2682926212513,-398.87213472266046,3.8262112
4493746564376875520,263.7341968642716,12.559009843277153,2.1082857,2.9305065,2.311921,0.6185856,,,,
142853330981747328,46.29487462677558,38.83980896875264,2.111629,3.9260542,1.7595884,2.1664658,,,,
2067518817314952576,305.55710787667306,40.2566736114266,2.1137252,3.1674535,2.1739058,0.9935477,,,,
4038055447778237312,274.4060904518451,-36.76242931758906,2.1164951,3.742679,1.9154117,1.8272674,23.885852068095137,-131.80407046542277,-166.30893037257962,1.5121768
1279798794197267072,221.24648617076684,27.074315757773466,2.1833525,3.2867486,2.1027422,1.1840065,13.82667260913517,-50.81825554241812,21.02352084436887,3.5287786
160886283751041408,74.24843702624405,33.16601472318802,2.1975422,3.4961586,2.0509734,1.4451852,7.249065034494049,3.8169754472223425,-17.786274545345467,2.525028
1869302503206674304,311.5547590119282,33.9717003123585,2.2109652,3.215465,2.0875072,1.1279578,,,,
5300300156538723328,139.2723686431627,-59.27517582046192,2.213786,2.8266044,2.2736454,0.55295897,,,,
4302054339959905920,296.56498571046956,10.613252703828636,2.223692,3.3967323,1.9184874,1.4782449,5.589928355256642,16.232737511703284,-1.354232773419788,2.6228507
6127791439360208640,190.3779930225551,-48.95978360109781,2.2270558,2.8990352,2.3849456,0.5140896,,,,
423018377034969216,2.2990654282325518,59.14897576410493,2.232691,2.9760761,2.2639887,0.7120874,,,,
3220756843825383936,83.00165624929525,-0.2990788925812489,2.2487726,2.666371,2.4963126,0.17005849,,,,
5534788672055388032,120.89585713760054,-40.00307350941095,2.2542944,2.799142,2.5706604,0.22848153,,,,
3377072212924335488,93.71906923878569,22.50675368193066,2.2620378,3.8225815,1.9687437,1.8538378,,,,
1222646935698492160,233.67254376294218,26.714295174747274,2.2693703,2.9421518,2.4125688,0.529583,42.24080076261629,118.92724128982546,-87.71096348146563,10.337642
5111187420714898304,59.507642022011794,-13.509012610930261,2.2707934,3.6330206,1.9435346,1.689486,17.00162879163835,62.22700221870858,-112.00607671028064,1.6072555
1563590579347125632,200.98237336533253,54.92525907860076,2.282647,2.9681494,2.4338107,0.5343387,40.213284471127004,122.46748022957269,-22.68188642875364,3.8996084
4049506483413484672,275.24868220695066,-29.82822386700995,2.296982,3.4772964,2.0510972,1.4261992,7.846769491115783,33.211995167893946,-27.36096961705406,0.6851711
6227443304915069056,226.0172005141403,-25.2821590562471,2.3034124,3.9132633,2.0032084,1.9100549,12.538654525627177,-73.48399761123272,-42.632144437537974,1.3680634
804753180515722624,155.58176101601168,41.49966386040507,2.32451,3.6615462,2.0164533,1.645093,17.798718499448466,-73.74880343645458,28.259324999144575,3.3351755
5905821894507108864,220.4821588727846,-47.388273117597144,2.3246517,2.8155036,2.5847902,0.23071337,,,,
4429785739602747392,236.0675744297602,6.4258326669088035,2.3253543,3.3184485,1.9836086,1.3348399,43.94497411580315,133.92233920144864,45.55042108403326,2.6528404
2106630885454013184,283.83388403904866,43.946451132674866,2.3616831,4.4252152,2.0015056,2.4237096,10.440410406499382,20.136233498600635,81.34922542993326,2.949213
