source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax,pmra,pmdec,ruwe
3891190724650456960,179.76361217296642,0.5308135641898081,5.8073387,6.4365964,5.043307,1.3932896,4.494955949621315,-66.04635188757622,29.99647824082973,1.1447223
3602373445511777536,180.25715919942238,-1.768494920934534,5.958396,6.5953264,5.187499,1.4078274,5.937424495860851,-19.140503556080112,-73.95735010429799,0.9349555
3795348082763752192,178.45930164714704,0.5521289583497363,6.269214,6.3648,6.0644274,0.3003726,8.097285300235177,-41.919788285203936,3.1967434740371163,1.002959
3891618228515095680,179.8496736595203,1.8265227493970873,6.3225265,7.073191,5.4787335,1.5944576,3.128208095858291,-18.434651474718468,-42.14725514311351,1.0807164
3602349466709056128,179.89132595178592,-1.9187100269726372,6.896766,7.3680067,6.2602797,1.107727,3.9451266568445127,-45.04772474981694,-21.81614166953349,0.97632414
3891468454415685504,178.84931929474095,1.0957635506260253,7.0753055,7.2576375,6.7451797,0.51245785,12.334091392829148,-49.33002126394571,-34.19677970086838,0.9530054
3891402964754446080,179.55382810500728,0.8690027711715632,7.1065946,7.6057363,6.4413347,1.1644015,4.976117234407056,-30.48264112034954,-44.21201917862699,0.9873124
3891156639790101120,180.5885706805964,0.5636393753282231,7.350266,8.223317,6.430775,1.792542,1.9589681280102902,-14.775507418537092,-9.413810710406228,1.0765737
3698630676297400704,181.79752619627018,-0.6299413571767042,7.3763585,7.838229,6.7490687,1.0891604,3.019036935601887,-22.527069267074303,2.0124350913909517,0.98200095
3602296587073060224,178.71708036698115,-1.4528620533417071,7.4388447,7.7703795,6.9358544,0.8345251,16.88845629058886,130.6427688416384,-302.9283653056825,5.644314
3891321046844615040,181.05301871345503,1.4619240015083077,7.648122,7.7334127,7.465215,0.26819754,8.201554487764888,-120.82699922316233,-25.354094145361216,0.99372816
3698950050066191488,180.48710972936772,0.10197578157804224,7.7141395,7.8605337,7.4349384,0.42559528,10.687081224093198,-45.85078565678346,-24.547950539442557,1.0205562
3891488176905501184,178.76596452352044,1.3172504315866003,7.7144094,8.555214,6.8172283,1.7379856,1.3378915007843541,-22.875730924069586,6.435759177529058,0.9968423
3698949946985263232,180.48837256565582,0.0818719878628197,7.8610516,8.591133,7.0342464,1.5568867,1.8480117901896995,4.266597234837528,-7.699726147456063,1.0075852
3794851687623554048,178.50904432977555,-1.0395795183399024,7.954926,8.526252,7.2338605,1.2923913,2.0366889390770253,-11.006587188880472,-7.6426102320343885,0.93919176
3601738894159011328,181.2999192710325,-1.5087850354811618,7.9622645,8.345114,7.407375,0.9377389,30.66457055690345,-513.6136026154328,57.13046756928566,0.98554015
3698945892537848576,180.62568952885192,0.04148699582836174,7.982021,8.447001,7.349431,1.0975704,4.26206333372957,-59.550159140568155,-12.492134108352431,0.9729766
3602808031778680320,180.36640013885759,-0.37872027046310813,8.093712,8.566124,7.451214,1.1149101,5.158755891588822,3.7324793470397784,7.328034216538039,1.6449922
3602460620464365568,180.8143496452663,-1.629697023617828,8.207813,8.731395,7.526972,1.204423,2.3431358786422676,-0.9742435569343358,-32.515462286653424,3.450678
3699041172091968000,181.8173604827001,0.42111606153262826,8.251256,8.482378,7.858054,0.62432384,11.409913801450662,-7.581189318689805,-40.75580098488323,1.6832922
3794905323175165568,178.75284087838708,-0.5561790613801258,8.255537,8.462233,7.8966103,0.5656223,5.271099098761132,-42.1954709373106,-5.198042553612033,1.2850044
3891158460856231040,180.44329799632285,0.5321414838786936,8.367836,8.981274,7.6237493,1.3575244,3.136451324792298,-17.81353949020275,7.11315061149469,1.0676963
3602622248673106688,179.00526160505302,-1.4423671168418977,8.434733,8.695037,8.0096445,0.6853924,7.088929502805104,5.106822311918891,-33.88067269934764,0.898592
3602283839610116352,178.66091828652037,-1.698326067296124,8.469297,10.087218,7.240043,2.8471751,0.7365685266410253,-19.791013639109647,1.451721903815041,1.1132251
3699014818172636288,181.6762776827234,0.2740047453155517,8.47682,8.698837,8.092355,0.6064825,8.357883989331727,-74.53937863270906,-25.47757266355646,1.0201291
3602508414860470016,181.1933303283803,-1.1602605973013078,8.524746,8.745596,8.139976,0.6056204,4.134725018660729,-35.11824388000736,0.44140095072786956,1.0483274
3602808066138420352,180.3641973864476,-0.3646733502669409,8.813259,9.044069,8.423235,0.62083435,8.39759199143162,-6.889210871141876,-9.60277665277398,1.0285115
3699055981139213184,181.90720568326617,0.7084606611375563,8.947246,9.442012,8.288339,1.1536732,2.021481427619468,-35.97648558726245,-18.18337093074938,2.9888992
