source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax,pmra,pmdec,ruwe
3891190724650456960,179.76361217296642,0.5308135641898081,5.8073387,6.4365964,5.043307,1.3932896,4.494955949621315,-66.04635188757622,29.99647824082973,1.1447223
3891402964754446080,179.55382810500728,0.8690027711715632,7.1065946,7.6057363,6.4413347,1.1644015,4.976117234407056,-30.48264112034954,-44.21201917862699,0.9873124
3891156639790101120,180.5885706805964,0.5636393753282231,7.350266,8.223317,6.430775,1.792542,1.9589681280102902,-14.775507418537092,-9.413810710406228,1.0765737
3698950050066191488,180.48710972936772,0.10197578157804224,7.7141395,7.8605337,7.4349384,0.42559528,10.687081224093198,-45.85078565678346,-24.547950539442557,1.0205562
3698949946985263232,180.48837256565582,0.0818719878628197,7.8610516,8.591133,7.0342464,1.5568867,1.8480117901896995,4.266597234837528,-7.699726147456063,1.0075852
3698945892537848576,180.62568952885192,0.04148699582836174,7.982021,8.447001,7.349431,1.0975704,4.26206333372957,-59.550159140568155,-12.492134108352431,0.9729766
3602808031778680320,180.36640013885759,-0.37872027046310813,8.093712,8.566124,7.451214,1.1149101,5.158755891588822,3.7324793470397784,7.328034216538039,1.6449922
3891158460856231040,180.44329799632285,0.5321414838786936,8.367836,8.981274,7.6237493,1.3575244,3.136451324792298,-17.81353949020275,7.11315061149469,1.0676963
3602808066138420352,180.3641973864476,-0.3646733502669409,8.813259,9.044069,8.423235,0.62083435,8.39759199143162,-6.889210871141876,-9.60277665277398,1.0285115
3602769651950910208,180.10071569490327,-0.6917238697891457,9.070999,9.335464,8.64255,0.69291306,6.898601541217506,-48.71215991002054,8.160398491069452,0.9651755
3795036989692466176,179.82890345504794,0.019695130928512536,9.146638,9.363959,8.772422,0.5915375,4.068906204327983,-11.35695249623029,-20.167413136670653,1.0092139
3795315097415030656,179.26142102691645,0.6244794109835883,9.310477,9.51598,8.968754,0.54722595,3.6853806819492774,-17.366778102189535,-6.491062920786132,2.228749
3891215566741288448,179.6412300404779,0.8721528300534366,9.35559,9.864389,8.6876545,1.1767349,1.7178861443759061,-6.545109392046156,2.26407962428634,1.0796887
3891115820420840576,179.88913700918965,0.16430994893890535,9.511026,9.787626,9.065261,0.7223654,9.498910914166514,44.33613898443674,-26.158785300800716,0.8255676
